row_no,pl_date,frequency,gl_company_code,gl_account,counter_party_gl_code,intercompany_relationship,regulated_ind,fsa_eligibility_ind,party_id,currency_code,legacy_gl_account_number,base_balance,usd_balance,fx_rate,multiply_divide_ind,original_usd_balance,gl_product,gl_account_description,profit_center,profit_center_desc,legacy_consolidated_10q_level_1,legacy_consolidated_10q_level_2,legacy_consolidated_10q_level_3,legacy_consolidated_10q_level_4,legacy_consolidated_10q_level_5,legacy_consolidated_10q_level_6,legacy_consolidated_10q_level_7,profit_center_level_1,profit_center_level_2,profit_center_level_3,profit_center_level_4,profit_center_level_5,profit_center_level_6,profit_center_level_7
910,2023-02-01,Random_frequency_44,Random_gl_company_code_559,150400,Random_counter_party_gl_code_924,Random_intercompany_relationship_1000,Random_regulated_ind_166,Random_fsa_eligibility_ind_30,Random_party_id_212,Random_currency_code_549,Random_legacy_gl_account_number_1000,141.25,512.86,400.34,Random_multiply_divide_ind_201,460.3,Random_gl_product_204,Random_gl_account_description_771,Random_profit_center_443,Random_profit_center_desc_332,Random_legacy_consolidated_10q_level_1_211,Random_legacy_consolidated_10q_level_2_11,Random_legacy_consolidated_10q_level_3_399,Random_legacy_consolidated_10q_level_4_271,BLAH3,Random_legacy_consolidated_10q_level_6_908,Random_legacy_consolidated_10q_level_7_950,Random_profit_center_level_1_348,Random_profit_center_level_2_832,Random_profit_center_level_3_188,Random_profit_center_level_4_995,Random_profit_center_level_5_333,Random_profit_center_level_6_17,Random_profit_center_level_7_471
850,2023-01-01,Random_frequency_317,Random_gl_company_code_643,150500,Random_counter_party_gl_code_490,Random_intercompany_relationship_644,Random_regulated_ind_178,Random_fsa_eligibility_ind_722,Random_party_id_543,Random_currency_code_610,Random_legacy_gl_account_number_872,457.17,456.29,761.35,Random_multiply_divide_ind_554,504.85,Random_gl_product_387,Random_gl_account_description_383,Random_profit_center_907,Random_profit_center_desc_246,Random_legacy_consolidated_10q_level_1_89,Random_legacy_consolidated_10q_level_2_671,Random_legacy_consolidated_10q_level_3_28,Random_legacy_consolidated_10q_level_4_774,BLAH3,Random_legacy_consolidated_10q_level_6_290,Random_legacy_consolidated_10q_level_7_464,Random_profit_center_level_1_487,Random_profit_center_level_2_129,Random_profit_center_level_3_255,Random_profit_center_level_4_340,Random_profit_center_level_5_935,Random_profit_center_level_6_19,Random_profit_center_level_7_347
410,2023-02-01,Random_frequency_469,Random_gl_company_code_222,150200,Random_counter_party_gl_code_985,Random_intercompany_relationship_160,Random_regulated_ind_997,Random_fsa_eligibility_ind_277,Random_party_id_990,Random_currency_code_465,Random_legacy_gl_account_number_439,953.47,664.64,515.13,Random_multiply_divide_ind_239,878.37,Random_gl_product_92,Random_gl_account_description_916,Random_profit_center_284,Random_profit_center_desc_152,Random_legacy_consolidated_10q_level_1_54,Random_legacy_consolidated_10q_level_2_988,Random_legacy_consolidated_10q_level_3_28,Random_legacy_consolidated_10q_level_4_291,BLAH1,Random_legacy_consolidated_10q_level_6_709,Random_legacy_consolidated_10q_level_7_506,Random_profit_center_level_1_888,Random_profit_center_level_2_140,Random_profit_center_level_3_599,Random_profit_center_level_4_528,Random_profit_center_level_5_896,Random_profit_center_level_6_81,Random_profit_center_level_7_56
15,2023-01-01,Random_frequency_181,Random_gl_company_code_128,150500,Random_counter_party_gl_code_374,Random_intercompany_relationship_417,Random_regulated_ind_729,Random_fsa_eligibility_ind_715,Random_party_id_798,Random_currency_code_430,Random_legacy_gl_account_number_201,375.45,370.74,377.15,Random_multiply_divide_ind_228,771.33,Random_gl_product_388,Random_gl_account_description_143,Random_profit_center_195,Random_profit_center_desc_680,Random_legacy_consolidated_10q_level_1_952,Random_legacy_consolidated_10q_level_2_243,Random_legacy_consolidated_10q_level_3_727,Random_legacy_consolidated_10q_level_4_503,FAIL DELIVER,Random_legacy_consolidated_10q_level_6_964,Random_legacy_consolidated_10q_level_7_912,Random_profit_center_level_1_421,Random_profit_center_level_2_939,Random_profit_center_level_3_38,Random_profit_center_level_4_342,Random_profit_center_level_5_422,Random_profit_center_level_6_687,Random_profit_center_level_7_6
845,2023-01-01,Random_frequency_245,Random_gl_company_code_830,150200,Random_counter_party_gl_code_770,Random_intercompany_relationship_942,Random_regulated_ind_737,Random_fsa_eligibility_ind_197,Random_party_id_231,Random_currency_code_861,Random_legacy_gl_account_number_690,975.0,200.5,385.02,Random_multiply_divide_ind_231,320.68,Random_gl_product_488,Random_gl_account_description_810,Random_profit_center_729,Random_profit_center_desc_281,Random_legacy_consolidated_10q_level_1_356,Random_legacy_consolidated_10q_level_2_293,Random_legacy_consolidated_10q_level_3_348,Random_legacy_consolidated_10q_level_4_166,BLAH3,Random_legacy_consolidated_10q_level_6_975,Random_legacy_consolidated_10q_level_7_947,Random_profit_center_level_1_309,Random_profit_center_level_2_173,Random_profit_center_level_3_579,Random_profit_center_level_4_348,Random_profit_center_level_5_114,Random_profit_center_level_6_963,Random_profit_center_level_7_291
433,2023-02-01,Random_frequency_237,Random_gl_company_code_511,150300,Random_counter_party_gl_code_859,Random_intercompany_relationship_457,Random_regulated_ind_547,Random_fsa_eligibility_ind_236,Random_party_id_548,Random_currency_code_255,Random_legacy_gl_account_number_534,245.34,584.11,142.7,Random_multiply_divide_ind_650,264.71,Random_gl_product_844,Random_gl_account_description_503,Random_profit_center_288,Random_profit_center_desc_994,Random_legacy_consolidated_10q_level_1_95,Random_legacy_consolidated_10q_level_2_399,Random_legacy_consolidated_10q_level_3_101,Random_legacy_consolidated_10q_level_4_749,BLAH2,Random_legacy_consolidated_10q_level_6_970,Random_legacy_consolidated_10q_level_7_474,Random_profit_center_level_1_344,Random_profit_center_level_2_717,Random_profit_center_level_3_547,Random_profit_center_level_4_95,Random_profit_center_level_5_480,Random_profit_center_level_6_457,Random_profit_center_level_7_179
507,2023-01-01,Random_frequency_578,Random_gl_company_code_863,150300,Random_counter_party_gl_code_489,Random_intercompany_relationship_590,Random_regulated_ind_288,Random_fsa_eligibility_ind_869,Random_party_id_567,Random_currency_code_558,Random_legacy_gl_account_number_887,891.58,875.85,653.25,Random_multiply_divide_ind_467,403.02,Random_gl_product_714,Random_gl_account_description_221,Random_profit_center_801,Random_profit_center_desc_659,Random_legacy_consolidated_10q_level_1_244,Random_legacy_consolidated_10q_level_2_573,Random_legacy_consolidated_10q_level_3_778,Random_legacy_consolidated_10q_level_4_662,FAIL DELIVER,Random_legacy_consolidated_10q_level_6_368,Random_legacy_consolidated_10q_level_7_745,Random_profit_center_level_1_349,Random_profit_center_level_2_606,Random_profit_center_level_3_275,Random_profit_center_level_4_240,Random_profit_center_level_5_493,Random_profit_center_level_6_33,Random_profit_center_level_7_933
88,2023-02-01,Random_frequency_112,Random_gl_company_code_598,150500,Random_counter_party_gl_code_783,Random_intercompany_relationship_513,Random_regulated_ind_945,Random_fsa_eligibility_ind_351,Random_party_id_531,Random_currency_code_38,Random_legacy_gl_account_number_323,125.0,722.31,205.57,Random_multiply_divide_ind_335,84.1,Random_gl_product_368,Random_gl_account_description_966,Random_profit_center_79,Random_profit_center_desc_575,Random_legacy_consolidated_10q_level_1_63,Random_legacy_consolidated_10q_level_2_463,Random_legacy_consolidated_10q_level_3_772,Random_legacy_consolidated_10q_level_4_813,BLAH1,Random_legacy_consolidated_10q_level_6_574,Random_legacy_consolidated_10q_level_7_819,Random_profit_center_level_1_565,Random_profit_center_level_2_36,Random_profit_center_level_3_961,Random_profit_center_level_4_572,Random_profit_center_level_5_313,Random_profit_center_level_6_278,Random_profit_center_level_7_825
960,2023-02-01,Random_frequency_501,Random_gl_company_code_691,150300,Random_counter_party_gl_code_684,Random_intercompany_relationship_190,Random_regulated_ind_670,Random_fsa_eligibility_ind_839,Random_party_id_356,Random_currency_code_851,Random_legacy_gl_account_number_926,994.92,99.44,13.25,Random_multiply_divide_ind_407,95.3,Random_gl_product_45,Random_gl_account_description_328,Random_profit_center_503,Random_profit_center_desc_513,Random_legacy_consolidated_10q_level_1_219,Random_legacy_consolidated_10q_level_2_117,Random_legacy_consolidated_10q_level_3_921,Random_legacy_consolidated_10q_level_4_510,BLAH2,Random_legacy_consolidated_10q_level_6_352,Random_legacy_consolidated_10q_level_7_648,Random_profit_center_level_1_179,Random_profit_center_level_2_952,Random_profit_center_level_3_960,Random_profit_center_level_4_539,Random_profit_center_level_5_560,Random_profit_center_level_6_157,Random_profit_center_level_7_577
775,2023-01-01,Random_frequency_920,Random_gl_company_code_478,150400,Random_counter_party_gl_code_561,Random_intercompany_relationship_914,Random_regulated_ind_227,Random_fsa_eligibility_ind_467,Random_party_id_22,Random_currency_code_674,Random_legacy_gl_account_number_580,709.22,28.78,803.61,Random_multiply_divide_ind_970,128.06,Random_gl_product_632,Random_gl_account_description_255,Random_profit_center_941,Random_profit_center_desc_217,Random_legacy_consolidated_10q_level_1_657,Random_legacy_consolidated_10q_level_2_848,Random_legacy_consolidated_10q_level_3_550,Random_legacy_consolidated_10q_level_4_64,BLAH4,Random_legacy_consolidated_10q_level_6_603,Random_legacy_consolidated_10q_level_7_590,Random_profit_center_level_1_543,Random_profit_center_level_2_919,Random_profit_center_level_3_760,Random_profit_center_level_4_788,Random_profit_center_level_5_452,Random_profit_center_level_6_284,Random_profit_center_level_7_163
54,2023-02-01,Random_frequency_929,Random_gl_company_code_988,150300,Random_counter_party_gl_code_952,Random_intercompany_relationship_711,Random_regulated_ind_763,Random_fsa_eligibility_ind_648,Random_party_id_963,Random_currency_code_281,Random_legacy_gl_account_number_766,932.17,184.31,958.55,Random_multiply_divide_ind_829,615.41,Random_gl_product_326,Random_gl_account_description_517,Random_profit_center_881,Random_profit_center_desc_945,Random_legacy_consolidated_10q_level_1_399,Random_legacy_consolidated_10q_level_2_281,Random_legacy_consolidated_10q_level_3_419,Random_legacy_consolidated_10q_level_4_373,BLAH3,Random_legacy_consolidated_10q_level_6_791,Random_legacy_consolidated_10q_level_7_640,Random_profit_center_level_1_504,Random_profit_center_level_2_582,Random_profit_center_level_3_532,Random_profit_center_level_4_632,Random_profit_center_level_5_307,Random_profit_center_level_6_428,Random_profit_center_level_7_651
844,2023-01-01,Random_frequency_807,Random_gl_company_code_402,150500,Random_counter_party_gl_code_207,Random_intercompany_relationship_390,Random_regulated_ind_617,Random_fsa_eligibility_ind_326,Random_party_id_736,Random_currency_code_969,Random_legacy_gl_account_number_555,504.03,959.19,126.42,Random_multiply_divide_ind_503,777.24,Random_gl_product_474,Random_gl_account_description_434,Random_profit_center_875,Random_profit_center_desc_386,Random_legacy_consolidated_10q_level_1_687,Random_legacy_consolidated_10q_level_2_682,Random_legacy_consolidated_10q_level_3_952,Random_legacy_consolidated_10q_level_4_493,BLAH1,Random_legacy_consolidated_10q_level_6_752,Random_legacy_consolidated_10q_level_7_470,Random_profit_center_level_1_995,Random_profit_center_level_2_505,Random_profit_center_level_3_556,Random_profit_center_level_4_197,Random_profit_center_level_5_569,Random_profit_center_level_6_901,Random_profit_center_level_7_439
446,2023-02-01,Random_frequency_288,Random_gl_company_code_791,150200,Random_counter_party_gl_code_441,Random_intercompany_relationship_158,Random_regulated_ind_613,Random_fsa_eligibility_ind_373,Random_party_id_733,Random_currency_code_382,Random_legacy_gl_account_number_995,660.7,542.9,452.15,Random_multiply_divide_ind_601,357.1,Random_gl_product_141,Random_gl_account_description_891,Random_profit_center_884,Random_profit_center_desc_501,Random_legacy_consolidated_10q_level_1_818,Random_legacy_consolidated_10q_level_2_389,Random_legacy_consolidated_10q_level_3_996,Random_legacy_consolidated_10q_level_4_635,BLAH1,Random_legacy_consolidated_10q_level_6_901,Random_legacy_consolidated_10q_level_7_469,Random_profit_center_level_1_333,Random_profit_center_level_2_555,Random_profit_center_level_3_468,Random_profit_center_level_4_922,Random_profit_center_level_5_317,Random_profit_center_level_6_389,Random_profit_center_level_7_364
97,2023-02-01,Random_frequency_182,Random_gl_company_code_514,150300,Random_counter_party_gl_code_511,Random_intercompany_relationship_477,Random_regulated_ind_871,Random_fsa_eligibility_ind_612,Random_party_id_606,Random_currency_code_582,Random_legacy_gl_account_number_698,640.89,572.43,858.38,Random_multiply_divide_ind_175,910.44,Random_gl_product_359,Random_gl_account_description_792,Random_profit_center_324,Random_profit_center_desc_542,Random_legacy_consolidated_10q_level_1_47,Random_legacy_consolidated_10q_level_2_698,Random_legacy_consolidated_10q_level_3_802,Random_legacy_consolidated_10q_level_4_446,BLAH4,Random_legacy_consolidated_10q_level_6_235,Random_legacy_consolidated_10q_level_7_857,Random_profit_center_level_1_207,Random_profit_center_level_2_259,Random_profit_center_level_3_869,Random_profit_center_level_4_639,Random_profit_center_level_5_177,Random_profit_center_level_6_938,Random_profit_center_level_7_322
137,2023-01-01,Random_frequency_260,Random_gl_company_code_612,150200,Random_counter_party_gl_code_220,Random_intercompany_relationship_54,Random_regulated_ind_12,Random_fsa_eligibility_ind_814,Random_party_id_358,Random_currency_code_197,Random_legacy_gl_account_number_705,275.09,799.06,385.07,Random_multiply_divide_ind_967,645.31,Random_gl_product_461,Random_gl_account_description_28,Random_profit_center_65,Random_profit_center_desc_283,Random_legacy_consolidated_10q_level_1_998,Random_legacy_consolidated_10q_level_2_980,Random_legacy_consolidated_10q_level_3_253,Random_legacy_consolidated_10q_level_4_289,BLAH3,Random_legacy_consolidated_10q_level_6_730,Random_legacy_consolidated_10q_level_7_577,Random_profit_center_level_1_412,Random_profit_center_level_2_314,Random_profit_center_level_3_930,Random_profit_center_level_4_799,Random_profit_center_level_5_2,Random_profit_center_level_6_452,Random_profit_center_level_7_410
590,2023-01-01,Random_frequency_581,Random_gl_company_code_214,150300,Random_counter_party_gl_code_723,Random_intercompany_relationship_437,Random_regulated_ind_535,Random_fsa_eligibility_ind_948,Random_party_id_905,Random_currency_code_407,Random_legacy_gl_account_number_284,910.63,915.16,918.66,Random_multiply_divide_ind_234,503.03,Random_gl_product_464,Random_gl_account_description_546,Random_profit_center_176,Random_profit_center_desc_863,Random_legacy_consolidated_10q_level_1_838,Random_legacy_consolidated_10q_level_2_776,Random_legacy_consolidated_10q_level_3_334,Random_legacy_consolidated_10q_level_4_480,FAIL DELIVER,Random_legacy_consolidated_10q_level_6_986,Random_legacy_consolidated_10q_level_7_889,Random_profit_center_level_1_879,Random_profit_center_level_2_796,Random_profit_center_level_3_46,Random_profit_center_level_4_30,Random_profit_center_level_5_1000,Random_profit_center_level_6_953,Random_profit_center_level_7_256
862,2023-01-01,Random_frequency_217,Random_gl_company_code_627,150400,Random_counter_party_gl_code_317,Random_intercompany_relationship_467,Random_regulated_ind_312,Random_fsa_eligibility_ind_348,Random_party_id_398,Random_currency_code_908,Random_legacy_gl_account_number_137,375.04,391.03,356.7,Random_multiply_divide_ind_526,948.02,Random_gl_product_87,Random_gl_account_description_626,Random_profit_center_379,Random_profit_center_desc_992,Random_legacy_consolidated_10q_level_1_87,Random_legacy_consolidated_10q_level_2_227,Random_legacy_consolidated_10q_level_3_817,Random_legacy_consolidated_10q_level_4_305,FAIL DELIVER,Random_legacy_consolidated_10q_level_6_532,Random_legacy_consolidated_10q_level_7_817,Random_profit_center_level_1_308,Random_profit_center_level_2_799,Random_profit_center_level_3_829,Random_profit_center_level_4_622,Random_profit_center_level_5_665,Random_profit_center_level_6_465,Random_profit_center_level_7_372
78,2023-02-01,Random_frequency_944,Random_gl_company_code_735,150400,Random_counter_party_gl_code_760,Random_intercompany_relationship_190,Random_regulated_ind_505,Random_fsa_eligibility_ind_710,Random_party_id_444,Random_currency_code_242,Random_legacy_gl_account_number_932,408.3,544.64,157.27,Random_multiply_divide_ind_642,552.37,Random_gl_product_940,Random_gl_account_description_325,Random_profit_center_598,Random_profit_center_desc_121,Random_legacy_consolidated_10q_level_1_714,Random_legacy_consolidated_10q_level_2_343,Random_legacy_consolidated_10q_level_3_268,Random_legacy_consolidated_10q_level_4_655,BLAH3,Random_legacy_consolidated_10q_level_6_278,Random_legacy_consolidated_10q_level_7_208,Random_profit_center_level_1_141,Random_profit_center_level_2_123,Random_profit_center_level_3_939,Random_profit_center_level_4_301,Random_profit_center_level_5_163,Random_profit_center_level_6_743,Random_profit_center_level_7_207
550,2023-01-01,Random_frequency_192,Random_gl_company_code_68,150100,Random_counter_party_gl_code_324,Random_intercompany_relationship_929,Random_regulated_ind_510,Random_fsa_eligibility_ind_895,Random_party_id_162,Random_currency_code_192,Random_legacy_gl_account_number_507,312.09,762.34,854.39,Random_multiply_divide_ind_660,256.48,Random_gl_product_732,Random_gl_account_description_589,Random_profit_center_736,Random_profit_center_desc_470,Random_legacy_consolidated_10q_level_1_181,Random_legacy_consolidated_10q_level_2_846,Random_legacy_consolidated_10q_level_3_195,Random_legacy_consolidated_10q_level_4_948,BLAH4,Random_legacy_consolidated_10q_level_6_120,Random_legacy_consolidated_10q_level_7_701,Random_profit_center_level_1_200,Random_profit_center_level_2_16,Random_profit_center_level_3_276,Random_profit_center_level_4_786,Random_profit_center_level_5_216,Random_profit_center_level_6_525,Random_profit_center_level_7_21
834,2023-02-01,Random_frequency_80,Random_gl_company_code_576,150100,Random_counter_party_gl_code_775,Random_intercompany_relationship_902,Random_regulated_ind_254,Random_fsa_eligibility_ind_335,Random_party_id_402,Random_currency_code_39,Random_legacy_gl_account_number_681,815.47,8.55,688.96,Random_multiply_divide_ind_544,688.8,Random_gl_product_428,Random_gl_account_description_488,Random_profit_center_745,Random_profit_center_desc_964,Random_legacy_consolidated_10q_level_1_459,Random_legacy_consolidated_10q_level_2_510,Random_legacy_consolidated_10q_level_3_451,Random_legacy_consolidated_10q_level_4_64,FAIL DELIVER,Random_legacy_consolidated_10q_level_6_232,Random_legacy_consolidated_10q_level_7_859,Random_profit_center_level_1_304,Random_profit_center_level_2_186,Random_profit_center_level_3_642,Random_profit_center_level_4_902,Random_profit_center_level_5_256,Random_profit_center_level_6_616,Random_profit_center_level_7_927
